1	6	14	14
3	7	13	13
4	9	13	15
5	8	12	12
6	7	13	13
7	11	11	13
8	4	16	16
9	11	13	17
10	13	11	15
11	8	13	14
12	9	11	11
13	16	7	10
14	15	7	9
15	12	9	10
16	18	2	2
17	16	4	4
18	18	2	2
20	19	2	3
21	17	3	3
22	18	2	2
23	15	5	5
24	19	2	3
25	17	3	3
26	14	6	6
27	19	1	1
28	20	3	6
29	17	3	3
30	19	1	1
31	22	4	10
32	17	4	5
33	15	5	5
34	18	2	2
35	20	1	2
36	19	3	5
37	19	3	5
38	22	2	6
39	17	3	3
40	18	2	2
41	19	1	1
42	19	1	1
43	17	3	3
44	18	3	4
45	19	1	1
46	20	4	8
47	20	1	2
48	21	3	7
49	18	2	2
50	17	4	5
51	18	3	4
52	21	2	5
53	18	2	2
54	18	2	2
55	19	1	1
56	18	2	2
57	18	2	2
58	20	0	0
59	20	0	0
60	20	0	0
62	19	1	1
63	19	1	1
64	21	0	1
65	20	0	0
66	16	4	4
67	19	1	1
68	20	0	0
69	20	1	2
70	19	1	1
71	20	0	0
72	19	1	1
73	19	1	1
74	19	1	1
75	20	0	0
76	20	3	6
77	20	0	0
78	19	1	1
79	19	1	1
80	20	1	2
81	20	0	0
82	20	0	0
83	19	1	1
84	19	1	1
85	18	2	2
86	19	1	1
87	20	1	2
88	20	0	0
89	19	2	3
90	20	1	2
91	20	0	0
92	19	1	1
93	19	1	1
94	20	0	0
95	20	0	0
96	18	2	2
97	19	2	3
98	20	0	0
99	19	1	1
100	19	1	1
101	19	1	1
102	17	3	3
103	20	0	0
104	20	0	0
105	20	0	0
106	19	1	1
107	20	0	0
108	18	2	2
109	20	1	2
110	20	0	0
111	19	1	1
112	20	0	0
113	20	0	0
114	21	2	5
115	19	1	1
116	18	2	2
117	19	1	1
118	20	0	0
119	20	0	0
120	20	0	0
121	20	0	0
122	20	0	0
123	18	3	4
124	18	2	2
125	20	0	0
126	18	2	2
127	19	1	1
128	20	0	0
129	20	0	0
130	19	1	1
131	20	0	0
132	20	0	0
133	20	0	0
134	20	0	0
135	20	0	0
136	20	0	0
137	21	0	1
138	20	0	0
139	20	0	0
140	20	0	0
141	20	1	2
142	20	0	0
143	20	0	0
144	19	1	1
145	20	0	0
146	20	0	0
147	20	0	0
148	20	0	0
149	20	0	0
150	20	0	0
151	20	0	0
152	20	0	0
153	20	0	0
154	20	0	0
155	20	0	0
156	20	0	0
157	20	0	0
158	22	0	2
159	20	0	0
160	20	0	0
161	20	0	0
162	20	0	0
163	20	0	0
164	20	0	0
165	20	0	0
166	20	0	0
167	20	0	0
168	20	0	0
169	20	0	0
170	20	0	0
171	20	0	0
172	20	0	0
173	20	0	0
174	20	0	0
175	21	0	1
176	20	0	0
177	20	0	0
178	20	0	0
179	20	0	0
180	20	0	0
181	20	0	0
182	20	0	0
183	20	0	0
184	20	0	0
185	20	0	0
186	20	0	0
187	20	0	0
188	20	0	0
189	20	0	0
190	20	0	0
191	20	0	0
192	20	0	0
193	20	0	0
194	20	0	0
195	20	0	0
196	20	0	0
197	20	0	0
198	20	0	0
199	20	0	0
200	20	0	0
201	20	0	0
202	20	0	0
203	20	0	0
204	20	0	0
205	20	0	0
206	20	0	0
207	20	0	0
208	20	0	0
209	20	0	0
210	20	0	0
211	20	0	0
212	20	0	0
213	20	0	0
214	20	0	0
215	20	0	0
216	20	0	0
